position=<-54530, -54537> velocity=< 5,  5>
position=< 22070, -54534> velocity=<-2,  5>
position=<-54581, -32648> velocity=< 5,  3>
position=< 22060, -54537> velocity=<-2,  5>
position=<-10805, -54535> velocity=< 1,  5>
position=< 32980, -32646> velocity=<-3,  3>
position=<-43635,  54921> velocity=< 4, -5>
position=<-32673,  33034> velocity=< 3, -3>
position=< 43954, -43596> velocity=<-4,  4>
position=< 43954, -43587> velocity=<-4,  4>
position=< 54905, -10753> velocity=<-5,  1>
position=<-43594,  33035> velocity=< 4, -3>
position=<-43627, -32647> velocity=< 4,  3>
position=< 11112,  33027> velocity=<-1, -3>
position=<-21742,  43976> velocity=< 2, -4>
position=<-32676,  54922> velocity=< 3, -5>
position=<-43587, -21695> velocity=< 4,  2>
position=< 22045, -54542> velocity=<-2,  5>
position=< 32992,  22081> velocity=<-3, -2>
position=<-10786, -21699> velocity=< 1,  2>
position=<-32697, -32644> velocity=< 3,  3>
position=< 43967,  22080> velocity=<-4, -2>
position=< 43958, -43590> velocity=<-4,  4>
position=<-21708, -10758> velocity=< 2,  1>
position=< 32979, -32642> velocity=<-3,  3>
position=<-10756,  43972> velocity=< 1, -4>
position=<-54565, -32649> velocity=< 5,  3>
position=< 32987, -21695> velocity=<-3,  2>
position=<-21751,  22086> velocity=< 2, -2>
position=< 11121, -21700> velocity=<-1,  2>
position=< 54871, -10758> velocity=<-5,  1>
position=<-43602, -21704> velocity=< 4,  2>
position=<-21694, -54538> velocity=< 2,  5>
position=< 54923, -54539> velocity=<-5,  5>
position=< 54927,  11136> velocity=<-5, -1>
position=< 33011, -54541> velocity=<-3,  5>
position=<-54573,  11137> velocity=< 5, -1>
position=< 11127,  54919> velocity=<-1, -5>
position=<-21701,  33026> velocity=< 2, -3>
position=<-54581, -54540> velocity=< 5,  5>
position=<-54537, -10758> velocity=< 5,  1>
position=<-10805, -10756> velocity=< 1,  1>
position=<-43640,  33031> velocity=< 4, -3>
position=< 33006, -10752> velocity=<-3,  1>
position=< 43957, -43595> velocity=<-4,  4>
position=<-54532,  22080> velocity=< 5, -2>
position=< 22086,  11136> velocity=<-2, -1>
position=< 22062, -32645> velocity=<-2,  3>
position=< 43933, -21701> velocity=<-4,  2>
position=< 54887, -21702> velocity=<-5,  2>
position=<-43626, -10756> velocity=< 4,  1>
position=< 43943, -21701> velocity=<-4,  2>
position=<-54568, -32643> velocity=< 5,  3>
position=<-43582, -54534> velocity=< 4,  5>
position=<-10768, -10758> velocity=< 1,  1>
position=< 22054,  43973> velocity=<-2, -4>
position=< 33040,  43973> velocity=<-3, -4>
position=<-54576, -32648> velocity=< 5,  3>
position=<-21743, -54538> velocity=< 2,  5>
position=<-43603, -21698> velocity=< 4,  2>
position=<-32647, -32650> velocity=< 3,  3>
position=< 54922,  22084> velocity=<-5, -2>
position=<-21694, -10754> velocity=< 2,  1>
position=<-21743,  43977> velocity=< 2, -4>
position=< 43965,  54925> velocity=<-4, -5>
position=<-32694, -32646> velocity=< 3,  3>
position=<-43627, -43594> velocity=< 4,  4>
position=< 22033, -21700> velocity=<-2,  2>
position=< 11131,  33026> velocity=<-1, -3>
position=<-32671, -32646> velocity=< 3,  3>
position=<-10768, -21695> velocity=< 1,  2>
position=< 11103,  22081> velocity=<-1, -2>
position=<-54589,  22080> velocity=< 5, -2>
position=< 54871, -21701> velocity=<-5,  2>
position=< 43978,  43981> velocity=<-4, -4>
position=< 22077, -21700> velocity=<-2,  2>
position=< 43934,  11134> velocity=<-4, -1>
position=<-43587,  33026> velocity=< 4, -3>
position=<-32656,  11138> velocity=< 3, -1>
position=< 54900,  43972> velocity=<-5, -4>
position=< 11122, -43592> velocity=<-1,  4>
position=<-32644,  33027> velocity=< 3, -3>
position=< 22052, -21699> velocity=<-2,  2>
position=<-10752, -43587> velocity=< 1,  4>
position=< 54911, -54542> velocity=<-5,  5>
position=<-54581,  33032> velocity=< 5, -3>
position=< 54900,  33028> velocity=<-5, -3>
position=< 32997,  22083> velocity=<-3, -2>
position=<-10779, -10755> velocity=< 1,  1>
position=< 22036,  33031> velocity=<-2, -3>
position=<-10794,  33026> velocity=< 1, -3>
position=<-43625, -43592> velocity=< 4,  4>
position=<-32692,  22089> velocity=< 3, -2>
position=< 32982, -54542> velocity=<-3,  5>
position=< 54900,  54920> velocity=<-5, -5>
position=<-21692,  43977> velocity=< 2, -4>
position=< 22094, -43595> velocity=<-2,  4>
position=<-54539, -43591> velocity=< 5,  4>
position=< 54879, -54539> velocity=<-5,  5>
position=< 22033, -21700> velocity=<-2,  2>
position=<-32687, -21704> velocity=< 3,  2>
position=<-32681, -54533> velocity=< 3,  5>
position=<-32661,  33033> velocity=< 3, -3>
position=< 22057,  11141> velocity=<-2, -1>
position=<-54560,  54925> velocity=< 5, -5>
position=<-10745, -10754> velocity=< 1,  1>
position=< 54908,  54927> velocity=<-5, -5>
position=<-32662, -21700> velocity=< 3,  2>
position=< 22033, -32645> velocity=<-2,  3>
position=< 43941, -10754> velocity=<-4,  1>
position=<-10765,  33029> velocity=< 1, -3>
position=<-10804, -43596> velocity=< 1,  4>
position=<-54579, -21704> velocity=< 5,  2>
position=< 11136, -21698> velocity=<-1,  2>
position=< 11092,  33028> velocity=<-1, -3>
position=< 11119,  33034> velocity=<-1, -3>
position=<-54581,  11139> velocity=< 5, -1>
position=<-21735, -10752> velocity=< 2,  1>
position=<-54568, -32642> velocity=< 5,  3>
position=<-32646,  43976> velocity=< 3, -4>
position=<-54569, -32643> velocity=< 5,  3>
position=< 43962,  11135> velocity=<-4, -1>
position=<-21700,  54918> velocity=< 2, -5>
position=<-10773,  11134> velocity=< 1, -1>
position=<-43635, -10749> velocity=< 4,  1>
position=< 22038,  22081> velocity=<-2, -2>
position=< 43965,  43974> velocity=<-4, -4>
position=< 43938,  11136> velocity=<-4, -1>
position=<-21702, -54533> velocity=< 2,  5>
position=< 11107, -10751> velocity=<-1,  1>
position=<-43587,  22086> velocity=< 4, -2>
position=<-10765,  54925> velocity=< 1, -5>
position=<-32673, -21702> velocity=< 3,  2>
position=< 54908, -54533> velocity=<-5,  5>
position=<-10756,  33026> velocity=< 1, -3>
position=<-10797,  33032> velocity=< 1, -3>
position=< 54923,  33029> velocity=<-5, -3>
position=<-43642,  33030> velocity=< 4, -3>
position=< 43941, -54539> velocity=<-4,  5>
position=<-10752, -32648> velocity=< 1,  3>
position=<-43592, -21695> velocity=< 4,  2>
position=< 54887,  33034> velocity=<-5, -3>
position=<-43614,  54927> velocity=< 4, -5>
position=< 43986,  54921> velocity=<-4, -5>
position=<-32673,  11140> velocity=< 3, -1>
position=<-43610,  43974> velocity=< 4, -4>
position=<-32689,  33028> velocity=< 3, -3>
position=< 22069, -32644> velocity=<-2,  3>
position=< 43984, -10758> velocity=<-4,  1>
position=< 11098, -10758> velocity=<-1,  1>
position=<-43619, -43590> velocity=< 4,  4>
position=<-10789, -10753> velocity=< 1,  1>
position=< 54931, -10754> velocity=<-5,  1>
position=< 54931,  43978> velocity=<-5, -4>
position=< 11143,  54925> velocity=<-1, -5>
position=< 54907,  43979> velocity=<-5, -4>
position=<-32692,  43974> velocity=< 3, -4>
position=<-43590, -32650> velocity=< 4,  3>
position=<-21718,  33033> velocity=< 2, -3>
position=< 32999, -54534> velocity=<-3,  5>
position=<-32636,  33034> velocity=< 3, -3>
position=<-54533, -43588> velocity=< 5,  4>
position=< 11111,  43977> velocity=<-1, -4>
position=<-43630, -10755> velocity=< 4,  1>
position=<-32668,  33032> velocity=< 3, -3>
position=<-54552, -10750> velocity=< 5,  1>
position=< 54919, -21704> velocity=<-5,  2>
position=< 43958, -54540> velocity=<-4,  5>
position=<-54568, -21699> velocity=< 5,  2>
position=<-43616, -10753> velocity=< 4,  1>
position=<-43583,  22087> velocity=< 4, -2>
position=<-43630, -32649> velocity=< 4,  3>
position=< 54900, -21697> velocity=<-5,  2>
position=< 11144,  33026> velocity=<-1, -3>
position=<-10805, -32645> velocity=< 1,  3>
position=< 43946, -43591> velocity=<-4,  4>
position=<-54560,  43981> velocity=< 5, -4>
position=<-32688,  54918> velocity=< 3, -5>
position=< 11119, -54534> velocity=<-1,  5>
position=< 43938,  11135> velocity=<-4, -1>
position=< 22041, -43592> velocity=<-2,  4>
position=<-21700,  43976> velocity=< 2, -4>
position=<-54549,  43974> velocity=< 5, -4>
position=<-54584,  33034> velocity=< 5, -3>
position=< 11127, -54542> velocity=<-1,  5>
position=< 11092,  43975> velocity=<-1, -4>
position=< 22081, -43587> velocity=<-2,  4>
position=<-32655,  54922> velocity=< 3, -5>
position=< 33030, -10758> velocity=<-3,  1>
position=< 11143,  33030> velocity=<-1, -3>
position=< 32997, -10755> velocity=<-3,  1>
position=<-43595, -21697> velocity=< 4,  2>
position=<-21722,  54925> velocity=< 2, -5>
position=< 54923,  11143> velocity=<-5, -1>
position=<-54581, -54534> velocity=< 5,  5>
position=<-54568,  11140> velocity=< 5, -1>
position=<-10749,  11138> velocity=< 1, -1>
position=<-21731,  54926> velocity=< 2, -5>
position=< 11146, -43592> velocity=<-1,  4>
position=< 22049, -54536> velocity=<-2,  5>
position=<-43627, -43589> velocity=< 4,  4>
position=<-21723, -54534> velocity=< 2,  5>
position=<-54589,  54926> velocity=< 5, -5>
position=<-43617, -10754> velocity=< 4,  1>
position=<-10797, -54542> velocity=< 1,  5>
position=< 11103,  22086> velocity=<-1, -2>
position=<-54585,  11138> velocity=< 5, -1>
position=<-32697,  43973> velocity=< 3, -4>
position=< 11111, -32647> velocity=<-1,  3>
position=< 43965,  43979> velocity=<-4, -4>
position=<-32657,  54926> velocity=< 3, -5>
