           0 | ip  0: seti      123        0 5 |      3941014       0       0       0       0            0
           1 | ip  1: bani        5      456 5 |      3941014       1       0       0       0          123
           2 | ip  2: eqri        5       72 5 |      3941014       2       0       0       0           72
           3 | ip  3: addr        5        1 1 |      3941014       3       0       0       0            1
           4 | ip  5: seti        0        7 5 |      3941014       5       0       0       0            1
           5 | ip  6: bori        5    65536 4 |      3941014       6       0       0       0            0
           6 | ip  7: seti 13159625        6 5 |      3941014       7       0       0   65536            0
           7 | ip  8: bani        4      255 3 |      3941014       8       0       0   65536     13159625
           8 | ip  9: addr        5        3 5 |      3941014       9       0       0   65536     13159625
           9 | ip 10: bani        5 16777215 5 |      3941014      10       0       0   65536     13159625
          10 | ip 11: muli        5    65899 5 |      3941014      11       0       0   65536     13159625
          11 | ip 12: bani        5 16777215 5 |      3941014      12       0       0   65536 867206127875
          12 | ip 13: gtir      256        4 3 |      3941014      13       0       0   65536      8610051
          13 | ip 14: addr        3        1 1 |      3941014      14       0       0   65536      8610051
          14 | ip 15: addi        1        1 1 |      3941014      15       0       0   65536      8610051
          15 | ip 17: seti        0        0 3 |      3941014      17       0       0   65536      8610051
          16 | ip 18: addi        3        1 2 |      3941014      18       0       0   65536      8610051
          17 | ip 19: muli        2      256 2 |      3941014      19       1       0   65536      8610051
          18 | ip 20: gtrr        2        4 2 |      3941014      20     256       0   65536      8610051
          19 | ip 21: addr        2        1 1 |      3941014      21       0       0   65536      8610051
          20 | ip 22: addi        1        1 1 |      3941014      22       0       0   65536      8610051
          21 | ip 24: addi        3        1 3 |      3941014      24       0       0   65536      8610051
          22 | ip 25: seti       17        4 1 |      3941014      25       0       1   65536      8610051
          23 | ip 18: addi        3        1 2 |      3941014      18       0       1   65536      8610051
          24 | ip 19: muli        2      256 2 |      3941014      19       2       1   65536      8610051
          25 | ip 20: gtrr        2        4 2 |      3941014      20     512       1   65536      8610051
          26 | ip 21: addr        2        1 1 |      3941014      21       0       1   65536      8610051
          27 | ip 22: addi        1        1 1 |      3941014      22       0       1   65536      8610051
          28 | ip 24: addi        3        1 3 |      3941014      24       0       1   65536      8610051
          29 | ip 25: seti       17        4 1 |      3941014      25       0       2   65536      8610051
          30 | ip 18: addi        3        1 2 |      3941014      18       0       2   65536      8610051
          31 | ip 19: muli        2      256 2 |      3941014      19       3       2   65536      8610051
          32 | ip 20: gtrr        2        4 2 |      3941014      20     768       2   65536      8610051
          33 | ip 21: addr        2        1 1 |      3941014      21       0       2   65536      8610051
          34 | ip 22: addi        1        1 1 |      3941014      22       0       2   65536      8610051
          35 | ip 24: addi        3        1 3 |      3941014      24       0       2   65536      8610051
          36 | ip 25: seti       17        4 1 |      3941014      25       0       3   65536      8610051
          37 | ip 18: addi        3        1 2 |      3941014      18       0       3   65536      8610051
          38 | ip 19: muli        2      256 2 |      3941014      19       4       3   65536      8610051
