60-60,45-60
36-57,7-36
2-32,1-55
1-30,6-75
12-13,13-90
48-98,48-98
29-29,29-51
5-8,7-92
39-91,38-90
3-41,16-86
64-64,65-95
4-4,5-96
8-43,9-22
82-88,20-46
19-20,9-20
73-74,10-74
23-29,22-23
21-82,22-83
36-36,36-84
34-35,35-74
3-98,8-98
42-51,50-50
44-93,45-94
65-88,78-90
37-76,43-76
46-63,8-63
2-91,58-92
8-8,8-74
50-50,46-50
11-75,10-76
16-95,17-94
81-94,80-89
7-76,9-75
99-99,1-99
3-52,4-53
48-81,40-80
13-65,14-14
96-99,2-95
7-98,1-98
24-93,23-42
28-29,29-64
34-86,33-87
71-84,70-71
24-29,28-82
22-87,15-21
62-70,45-69
45-48,44-52
34-63,35-62
14-14,15-83
1-40,10-39
45-97,46-98
36-58,18-57
24-92,23-93
15-65,5-15
80-81,80-81
8-97,97-97
18-27,17-28
35-35,36-53
46-51,47-56
43-64,42-63
31-88,89-93
44-96,97-97
3-9,8-56
48-58,16-47
13-89,12-90
3-98,4-99
20-32,20-90
20-96,97-97
27-93,28-93
23-49,22-48
44-75,44-44
15-15,15-87
84-90,61-82
2-97,97-99
25-82,24-25
29-29,15-29
23-23,24-47
34-98,4-97
37-72,36-73
61-66,55-65
66-70,70-70
81-87,82-93
97-97,17-97
3-47,4-84
83-92,46-87
8-51,9-55
5-86,14-45
46-74,75-94
60-61,61-86
57-66,60-84
75-78,52-74
14-89,93-93
1-93,1-1
24-30,23-31
80-85,79-84
71-71,30-70
46-90,70-90
11-11,11-79
56-84,55-74
11-86,12-87
72-86,49-59
37-87,77-88
27-74,27-66
31-63,30-31
59-89,58-90
4-48,5-5
56-63,62-63
15-87,1-31
11-57,10-63
43-55,24-42
27-79,28-78
32-79,3-80
22-56,21-55
4-91,3-94
41-49,49-58
18-77,12-13
6-74,7-75
38-97,96-97
24-89,23-88
25-91,91-91
65-66,66-78
62-90,63-85
60-74,73-73
52-59,53-58
15-77,16-78
23-48,47-48
18-53,37-47
8-10,5-9
31-63,19-27
